aasno,priority,ingress,src_mac,dst_mac,src_ip,dst_ip,src_start,src_end,dst_start,dst_end,nw_proto,action 
1,96,3,00:00:00:00:00:00,00:00:00:00:00:00,0.0.0.0/1,241.166.42.21/32,53,96,29,123,2,drop
2,193,4,00:00:00:00:00:00,00:00:00:00:00:00,199.128.0.0/10,68.87.217.32/29,142,165,21,112,2,flood
3,45,5,00:00:00:00:00:00,00:00:00:00:00:00,80.37.225.104/29,14.86.24.0/22,80,187,108,163,1,in_port
4,138,3,00:00:00:00:00:00,00:00:00:00:00:00,88.0.0.0/5,128.0.0.0/2,32,87,40,182,2,strip_vlan
5,87,3,00:00:00:00:00:00,00:00:00:00:00:00,16.0.0.0/4,224.0.0.0/7,17,68,56,126,1,controller
6,29,3,00:00:00:00:00:00,00:00:00:00:00:00,248.0.0.0/5,22.224.0.0/11,155,187,153,157,1,in_port
7,41,3,00:00:00:00:00:00,00:00:00:00:00:00,0.0.0.0/2,33.0.0.0/9,15,117,89,132,1,strip_vlan
8,114,3,00:00:00:00:00:00,00:00:00:00:00:00,191.96.0.0/11,247.0.0.0/8,59,158,5,144,2,drop
9,196,4,00:00:00:00:00:00,00:00:00:00:00:00,112.0.0.0/5,27.108.0.0/15,127,132,154,179,2,strip_vlan
10,46,2,00:00:00:00:00:00,00:00:00:00:00:00,0.0.0.0/1,160.0.0.0/4,96,123,65,153,2,flood
11,151,3,00:00:00:00:00:00,00:00:00:00:00:00,128.144.185.250/32,144.0.0.0/4,33,147,71,80,1,in_port
12,132,5,00:00:00:00:00:00,00:00:00:00:00:00,52.128.0.0/9,160.0.0.0/3,157,173,67,102,1,drop
13,55,3,00:00:00:00:00:00,00:00:00:00:00:00,32.0.0.0/5,168.247.192.0/19,116,191,64,114,2,drop
14,198,4,00:00:00:00:00:00,00:00:00:00:00:00,128.0.0.0/6,79.0.0.0/11,5,102,80,103,2,flood
15,42,1,00:00:00:00:00:00,00:00:00:00:00:00,120.0.0.0/5,240.0.0.0/4,42,178,9,166,1,drop
16,50,1,00:00:00:00:00:00,00:00:00:00:00:00,204.0.0.0/6,160.0.0.0/3,127,173,44,140,2,strip_vlan
17,30,1,00:00:00:00:00:00,00:00:00:00:00:00,52.0.0.0/6,128.0.0.0/1,10,117,96,98,1,output:2
18,177,1,00:00:00:00:00:00,00:00:00:00:00:00,75.0.0.0/8,48.0.0.0/4,9,22,29,49,2,output:2
19,82,3,00:00:00:00:00:00,00:00:00:00:00:00,224.0.0.0/4,232.0.0.0/9,9,145,72,152,2,drop
20,146,1,00:00:00:00:00:00,00:00:00:00:00:00,232.128.0.0/10,38.57.242.75/32,27,86,19,43,1,output:2
21,4,1,00:00:00:00:00:00,00:00:00:00:00:00,192.0.0.0/3,112.0.0.0/5,174,183,20,21,2,in_port
22,55,4,00:00:00:00:00:00,00:00:00:00:00:00,168.0.0.0/5,119.201.112.0/20,101,154,180,199,1,output:2
23,137,5,00:00:00:00:00:00,00:00:00:00:00:00,64.160.0.0/11,18.32.0.0/11,59,162,35,113,1,output:3
24,181,3,00:00:00:00:00:00,00:00:00:00:00:00,245.0.0.0/8,72.0.0.0/5,6,165,90,112,1,output:3
25,25,3,00:00:00:00:00:00,00:00:00:00:00:00,144.0.0.0/4,162.10.239.208/28,117,127,100,131,6,in_port
26,24,4,00:00:00:00:00:00,00:00:00:00:00:00,96.0.0.0/4,128.0.0.0/4,18,20,88,103,6,output:2
27,16,1,00:00:00:00:00:00,00:00:00:00:00:00,158.18.84.0/22,148.32.0.0/11,186,195,92,147,2,drop
28,55,4,00:00:00:00:00:00,00:00:00:00:00:00,0.0.0.0/2,209.199.197.34/32,113,144,101,112,6,drop
29,72,2,00:00:00:00:00:00,00:00:00:00:00:00,37.109.166.208/28,224.0.0.0/5,8,156,156,182,1,strip_vlan
30,194,1,00:00:00:00:00:00,00:00:00:00:00:00,155.0.0.0/9,90.192.0.0/10,61,63,31,51,2,controller
31,8,1,00:00:00:00:00:00,00:00:00:00:00:00,109.88.0.0/13,141.221.200.0/21,63,183,123,150,1,in_port
32,33,1,00:00:00:00:00:00,00:00:00:00:00:00,99.173.64.0/18,8.112.0.0/13,178,195,35,137,1,strip_vlan
33,38,1,00:00:00:00:00:00,00:00:00:00:00:00,192.0.0.0/3,192.0.0.0/2,9,123,125,180,6,in_port
34,42,4,00:00:00:00:00:00,00:00:00:00:00:00,144.0.0.0/4,97.190.20.0/22,114,175,7,115,1,in_port
35,83,4,00:00:00:00:00:00,00:00:00:00:00:00,96.0.0.0/4,208.0.0.0/5,77,116,101,196,2,in_port
36,130,2,00:00:00:00:00:00,00:00:00:00:00:00,32.0.0.0/4,128.0.0.0/3,38,127,29,69,2,drop
37,5,3,00:00:00:00:00:00,00:00:00:00:00:00,188.80.0.0/12,192.0.0.0/3,27,169,192,198,2,flood
38,23,2,00:00:00:00:00:00,00:00:00:00:00:00,192.0.0.0/6,94.160.0.0/13,114,146,61,156,6,output:3
39,169,1,00:00:00:00:00:00,00:00:00:00:00:00,200.49.252.0/22,0.0.0.0/1,2,37,58,126,1,strip_vlan
40,74,4,00:00:00:00:00:00,00:00:00:00:00:00,41.8.101.171/32,139.128.0.0/9,106,133,104,155,2,flood
41,188,5,00:00:00:00:00:00,00:00:00:00:00:00,229.226.188.0/22,224.0.0.0/5,10,64,94,103,2,in_port
42,183,4,00:00:00:00:00:00,00:00:00:00:00:00,128.0.0.0/3,12.97.224.0/20,138,187,166,193,2,output:3
43,101,2,00:00:00:00:00:00,00:00:00:00:00:00,224.132.139.142/31,64.0.0.0/4,64,110,120,190,6,output:2
44,118,1,00:00:00:00:00:00,00:00:00:00:00:00,208.32.0.0/11,218.176.0.0/13,59,164,52,105,6,controller
45,178,1,00:00:00:00:00:00,00:00:00:00:00:00,64.0.0.0/2,199.229.216.0/21,132,175,27,160,2,in_port
46,28,4,00:00:00:00:00:00,00:00:00:00:00:00,241.90.176.0/21,231.56.0.0/14,101,154,106,160,1,flood
47,30,1,00:00:00:00:00:00,00:00:00:00:00:00,236.157.192.0/20,46.0.0.0/10,48,156,39,188,2,drop
48,113,1,00:00:00:00:00:00,00:00:00:00:00:00,112.0.0.0/4,64.0.0.0/3,38,106,7,100,1,drop
49,20,4,00:00:00:00:00:00,00:00:00:00:00:00,239.66.128.0/18,148.124.184.0/22,177,188,79,197,6,output:3
50,83,4,00:00:00:00:00:00,00:00:00:00:00:00,192.0.0.0/3,13.193.169.203/32,39,46,46,176,1,drop
51,85,2,00:00:00:00:00:00,00:00:00:00:00:00,0.0.0.0/2,172.34.55.216/29,102,154,30,44,1,in_port
52,116,2,00:00:00:00:00:00,00:00:00:00:00:00,220.0.0.0/6,192.0.0.0/4,70,109,17,37,1,in_port
53,65,1,00:00:00:00:00:00,00:00:00:00:00:00,71.96.192.0/18,97.208.0.0/12,31,93,16,73,2,output:2
54,34,5,00:00:00:00:00:00,00:00:00:00:00:00,52.0.0.0/6,96.0.0.0/5,47,110,28,29,2,output:2
55,59,2,00:00:00:00:00:00,00:00:00:00:00:00,28.0.0.0/6,109.244.0.0/14,96,120,28,181,1,in_port
56,157,4,00:00:00:00:00:00,00:00:00:00:00:00,192.0.0.0/2,178.0.0.0/7,65,114,134,185,6,output:2
57,108,1,00:00:00:00:00:00,00:00:00:00:00:00,132.31.208.0/21,28.0.0.0/6,28,119,12,180,6,controller
58,107,3,00:00:00:00:00:00,00:00:00:00:00:00,58.39.128.0/17,96.0.0.0/5,38,177,23,72,6,strip_vlan
59,26,1,00:00:00:00:00:00,00:00:00:00:00:00,72.0.0.0/6,75.78.192.0/19,133,193,28,78,2,output:2
60,169,5,00:00:00:00:00:00,00:00:00:00:00:00,192.0.0.0/2,181.203.239.240/29,144,189,29,122,6,controller
61,35,4,00:00:00:00:00:00,00:00:00:00:00:00,231.224.184.176/28,199.244.206.112/28,114,178,59,72,1,drop
62,156,2,00:00:00:00:00:00,00:00:00:00:00:00,160.0.0.0/4,118.178.0.0/15,97,108,194,197,6,output:2
63,37,5,00:00:00:00:00:00,00:00:00:00:00:00,248.0.0.0/6,0.0.0.0/2,134,168,85,116,1,drop
64,30,5,00:00:00:00:00:00,00:00:00:00:00:00,0.0.0.0/2,157.138.88.0/21,38,137,23,108,6,flood
65,108,4,00:00:00:00:00:00,00:00:00:00:00:00,124.168.0.0/13,98.128.0.0/10,40,168,83,130,2,flood
66,127,2,00:00:00:00:00:00,00:00:00:00:00:00,86.33.182.192/26,7.144.0.0/12,9,25,35,105,6,controller
67,127,3,00:00:00:00:00:00,00:00:00:00:00:00,0.0.0.0/1,185.64.0.0/10,177,197,4,96,6,strip_vlan
68,31,3,00:00:00:00:00:00,00:00:00:00:00:00,20.160.0.0/11,168.0.0.0/6,48,190,51,97,1,output:3
69,134,1,00:00:00:00:00:00,00:00:00:00:00:00,121.35.209.206/32,176.0.0.0/5,39,175,44,178,1,in_port
70,34,2,00:00:00:00:00:00,00:00:00:00:00:00,136.0.0.0/5,31.78.172.0/22,45,88,22,37,6,flood
71,29,3,00:00:00:00:00:00,00:00:00:00:00:00,148.0.0.0/7,175.151.51.75/32,75,143,113,151,6,drop
72,77,1,00:00:00:00:00:00,00:00:00:00:00:00,192.0.0.0/4,160.0.0.0/3,58,126,125,156,2,flood
73,74,4,00:00:00:00:00:00,00:00:00:00:00:00,202.0.0.0/7,164.48.157.144/28,127,143,11,177,1,controller
74,105,4,00:00:00:00:00:00,00:00:00:00:00:00,152.0.0.0/5,171.4.0.0/14,78,161,10,154,6,controller
75,116,4,00:00:00:00:00:00,00:00:00:00:00:00,148.0.0.0/6,27.232.0.0/13,98,154,154,159,6,output:3
76,172,2,00:00:00:00:00:00,00:00:00:00:00:00,79.169.67.0/25,32.0.0.0/3,38,158,117,153,1,output:2
77,22,3,00:00:00:00:00:00,00:00:00:00:00:00,172.72.235.4/32,196.0.0.0/6,46,190,7,192,1,drop
78,166,4,00:00:00:00:00:00,00:00:00:00:00:00,187.64.0.0/10,128.0.0.0/1,77,147,91,135,6,output:2
79,93,4,00:00:00:00:00:00,00:00:00:00:00:00,26.189.42.191/32,131.76.76.200/29,107,178,71,114,6,in_port
80,40,2,00:00:00:00:00:00,00:00:00:00:00:00,40.0.0.0/5,175.232.0.0/14,76,172,142,192,1,in_port
81,36,5,00:00:00:00:00:00,00:00:00:00:00:00,200.0.0.0/6,82.0.0.0/7,17,42,93,132,1,drop
82,46,4,00:00:00:00:00:00,00:00:00:00:00:00,144.0.0.0/4,137.63.165.112/29,16,99,107,140,6,output:2
83,35,3,00:00:00:00:00:00,00:00:00:00:00:00,88.0.0.0/5,190.234.64.0/19,93,152,3,106,6,output:3
84,53,5,00:00:00:00:00:00,00:00:00:00:00:00,248.0.0.0/6,240.0.0.0/5,42,126,57,129,2,flood
85,7,3,00:00:00:00:00:00,00:00:00:00:00:00,208.0.0.0/4,160.0.0.0/5,22,55,139,187,6,output:2
86,30,5,00:00:00:00:00:00,00:00:00:00:00:00,144.0.0.0/4,96.0.0.0/3,122,133,94,101,2,output:3
87,185,1,00:00:00:00:00:00,00:00:00:00:00:00,64.0.0.0/3,146.0.0.0/10,108,174,102,191,2,strip_vlan
88,138,1,00:00:00:00:00:00,00:00:00:00:00:00,94.228.32.0/19,192.0.0.0/2,6,192,11,106,6,output:2
89,34,2,00:00:00:00:00:00,00:00:00:00:00:00,96.0.0.0/4,220.94.240.0/20,85,93,51,63,1,output:2
90,114,2,00:00:00:00:00:00,00:00:00:00:00:00,54.0.0.0/8,144.0.0.0/4,115,176,139,194,1,output:3
91,200,4,00:00:00:00:00:00,00:00:00:00:00:00,27.230.115.208/28,210.168.0.0/13,91,148,30,198,1,strip_vlan
92,49,5,00:00:00:00:00:00,00:00:00:00:00:00,70.128.0.0/9,0.0.0.0/2,152,156,50,89,2,output:3
93,28,3,00:00:00:00:00:00,00:00:00:00:00:00,76.212.157.56/29,64.0.0.0/4,80,96,47,69,6,output:3
94,95,2,00:00:00:00:00:00,00:00:00:00:00:00,32.0.0.0/3,192.0.0.0/4,10,173,10,145,1,controller
95,127,4,00:00:00:00:00:00,00:00:00:00:00:00,8.0.0.0/6,22.0.0.0/7,67,179,150,193,6,drop
96,43,1,00:00:00:00:00:00,00:00:00:00:00:00,187.6.189.96/29,136.0.0.0/5,43,198,76,96,1,strip_vlan
97,60,1,00:00:00:00:00:00,00:00:00:00:00:00,64.0.0.0/3,76.0.0.0/6,68,72,21,99,2,controller
98,44,1,00:00:00:00:00:00,00:00:00:00:00:00,88.0.0.0/6,184.0.0.0/5,5,198,110,171,1,flood
99,73,2,00:00:00:00:00:00,00:00:00:00:00:00,192.0.0.0/3,0.0.0.0/2,13,82,164,179,2,strip_vlan
100,3,3,00:00:00:00:00:00,00:00:00:00:00:00,148.32.0.0/11,160.0.0.0/3,179,185,124,137,2,flood
101,120,1,00:00:00:00:00:00,00:00:00:00:00:00,189.201.192.0/20,224.0.0.0/5,163,189,124,197,1,drop
