aasno,priority,ingress,src_mac,dst_mac,src_ip,dst_ip,src_start,src_end,dst_start,dst_end,nw_proto,action 
1,135,3,00:00:00:00:00:00,00:00:00:00:00:00,10.50.106.0/23,10.50.77.0/25,75,85,104,177,6,in_port
2,129,3,00:00:00:00:00:00,00:00:00:00:00:00,10.50.237.24/32,10.50.136.181/32,188,194,60,77,2,flood
3,43,5,00:00:00:00:00:00,00:00:00:00:00:00,10.50.49.176/29,10.50.184.0/21,78,174,77,98,2,strip_vlan
4,87,3,00:00:00:00:00:00,00:00:00:00:00:00,10.50.78.160/29,10.50.91.140/31,126,183,19,33,2,in_port
5,141,5,00:00:00:00:00:00,00:00:00:00:00:00,10.50.67.0/26,10.50.128.0/17,82,96,162,187,1,strip_vlan
6,111,2,00:00:00:00:00:00,00:00:00:00:00:00,10.50.221.160/27,10.50.128.0/18,169,189,21,103,1,strip_vlan
7,174,2,00:00:00:00:00:00,00:00:00:00:00:00,10.50.96.0/19,10.50.176.183/32,138,194,16,136,1,strip_vlan
8,5,3,00:00:00:00:00:00,00:00:00:00:00:00,10.50.229.0/26,10.50.128.0/18,46,124,32,50,1,in_port
9,141,1,00:00:00:00:00:00,00:00:00:00:00:00,10.50.192.0/24,10.50.52.153/32,21,159,59,117,1,flood
10,157,3,00:00:00:00:00:00,00:00:00:00:00:00,10.50.144.0/20,10.50.20.0/25,22,181,53,157,2,in_port
11,164,4,00:00:00:00:00:00,00:00:00:00:00:00,10.50.154.0/26,10.50.39.81/32,78,152,29,54,1,flood
12,180,2,00:00:00:00:00:00,00:00:00:00:00:00,10.50.11.147/32,10.50.9.64/26,5,71,77,111,1,output:2
13,94,4,00:00:00:00:00:00,00:00:00:00:00:00,10.50.236.0/23,10.50.244.0/22,122,158,172,178,6,controller
14,6,1,00:00:00:00:00:00,00:00:00:00:00:00,10.50.199.67/32,10.50.168.0/24,51,167,42,67,6,strip_vlan
15,120,1,00:00:00:00:00:00,00:00:00:00:00:00,10.50.32.0/19,10.50.0.0/20,21,123,7,125,1,drop
16,179,5,00:00:00:00:00:00,00:00:00:00:00:00,10.50.62.173/32,10.50.128.0/18,122,148,8,189,1,controller
17,179,4,00:00:00:00:00:00,00:00:00:00:00:00,10.50.88.48/29,10.50.137.192/26,91,143,22,82,2,strip_vlan
18,147,5,00:00:00:00:00:00,00:00:00:00:00:00,10.50.124.128/26,10.50.128.0/18,99,153,61,134,2,output:2
19,49,1,00:00:00:00:00:00,00:00:00:00:00:00,10.50.165.6/32,10.50.28.8/32,108,120,4,88,1,drop
20,147,2,00:00:00:00:00:00,00:00:00:00:00:00,10.50.128.0/18,10.50.26.118/32,4,14,159,174,6,strip_vlan
21,186,5,00:00:00:00:00:00,00:00:00:00:00:00,10.50.164.0/22,10.50.205.192/27,113,163,82,158,6,controller
22,160,1,00:00:00:00:00:00,00:00:00:00:00:00,10.50.10.192/26,10.50.224.65/32,173,186,59,166,6,drop
23,34,1,00:00:00:00:00:00,00:00:00:00:00:00,10.50.120.0/22,10.50.75.104/32,44,169,124,152,1,output:2
24,191,3,00:00:00:00:00:00,00:00:00:00:00:00,10.50.229.131/32,10.50.90.240/28,19,83,79,104,2,output:3
25,69,1,00:00:00:00:00:00,00:00:00:00:00:00,10.50.120.0/21,10.50.17.3/32,63,138,149,185,1,controller
26,157,2,00:00:00:00:00:00,00:00:00:00:00:00,10.50.208.126/32,10.50.104.0/21,108,145,23,180,2,in_port
27,143,2,00:00:00:00:00:00,00:00:00:00:00:00,10.50.196.52/32,10.50.112.0/20,33,104,30,49,1,output:2
28,69,3,00:00:00:00:00:00,00:00:00:00:00:00,10.50.251.116/30,10.50.101.212/32,70,131,140,155,2,drop
29,42,3,00:00:00:00:00:00,00:00:00:00:00:00,10.50.114.0/24,10.50.219.64/26,15,134,42,178,6,output:2
30,32,5,00:00:00:00:00:00,00:00:00:00:00:00,10.50.184.0/21,10.50.88.0/21,15,164,5,183,2,strip_vlan
31,10,4,00:00:00:00:00:00,00:00:00:00:00:00,10.50.163.244/32,10.50.205.192/26,1,80,1,152,2,output:2
32,72,4,00:00:00:00:00:00,00:00:00:00:00:00,10.50.32.0/19,10.50.157.234/32,120,140,13,56,2,strip_vlan
33,192,5,00:00:00:00:00:00,00:00:00:00:00:00,10.50.171.128/26,10.50.192.0/18,2,74,65,175,2,strip_vlan
34,20,1,00:00:00:00:00:00,00:00:00:00:00:00,10.50.0.0/17,10.50.96.0/20,2,6,100,195,1,strip_vlan
35,104,3,00:00:00:00:00:00,00:00:00:00:00:00,10.50.128.0/18,10.50.128.0/17,30,77,38,180,2,in_port
36,17,2,00:00:00:00:00:00,00:00:00:00:00:00,10.50.57.9/32,10.50.192.0/19,120,188,95,144,1,drop
37,187,3,00:00:00:00:00:00,00:00:00:00:00:00,10.50.138.8/29,10.50.192.0/18,53,61,14,30,1,flood
38,183,3,00:00:00:00:00:00,00:00:00:00:00:00,10.50.34.176/29,10.50.184.0/22,110,164,39,90,1,output:3
39,66,4,00:00:00:00:00:00,00:00:00:00:00:00,10.50.68.0/24,10.50.167.210/32,22,111,67,108,1,in_port
40,75,4,00:00:00:00:00:00,00:00:00:00:00:00,10.50.127.247/32,10.50.93.128/25,91,94,32,89,2,controller
41,200,2,00:00:00:00:00:00,00:00:00:00:00:00,10.50.216.0/21,10.50.112.0/23,15,118,143,197,6,output:3
42,152,1,00:00:00:00:00:00,00:00:00:00:00:00,10.50.34.254/32,10.50.104.0/21,77,109,37,95,1,output:2
43,184,5,00:00:00:00:00:00,00:00:00:00:00:00,10.50.252.204/32,10.50.70.224/28,110,171,86,147,1,controller
44,63,5,00:00:00:00:00:00,00:00:00:00:00:00,10.50.110.142/32,10.50.110.14/32,43,45,130,188,2,output:2
45,163,4,00:00:00:00:00:00,00:00:00:00:00:00,10.50.196.0/23,10.50.6.128/25,75,87,27,29,6,controller
46,106,2,00:00:00:00:00:00,00:00:00:00:00:00,10.50.0.0/20,10.50.53.0/25,125,179,87,167,6,flood
47,85,2,00:00:00:00:00:00,00:00:00:00:00:00,10.50.59.0/26,10.50.70.0/23,38,134,6,170,1,strip_vlan
48,101,1,00:00:00:00:00:00,00:00:00:00:00:00,10.50.104.0/21,10.50.16.0/20,176,184,1,152,6,controller
49,148,5,00:00:00:00:00:00,00:00:00:00:00:00,10.50.184.0/21,10.50.128.0/18,66,138,52,145,2,controller
50,189,2,00:00:00:00:00:00,00:00:00:00:00:00,10.50.99.53/32,10.50.127.0/26,1,17,142,168,2,in_port
51,118,1,00:00:00:00:00:00,00:00:00:00:00:00,10.50.180.0/22,10.50.224.0/21,29,145,123,150,6,flood
52,133,1,00:00:00:00:00:00,00:00:00:00:00:00,10.50.117.249/32,10.50.0.0/19,62,89,6,123,2,controller
53,80,3,00:00:00:00:00:00,00:00:00:00:00:00,10.50.160.0/19,10.50.84.0/22,2,108,113,149,1,output:2
54,118,5,00:00:00:00:00:00,00:00:00:00:00:00,10.50.64.0/18,10.50.202.17/32,140,181,65,190,1,output:3
55,136,1,00:00:00:00:00:00,00:00:00:00:00:00,10.50.34.48/28,10.50.128.0/18,12,181,12,113,1,strip_vlan
56,111,2,00:00:00:00:00:00,00:00:00:00:00:00,10.50.80.0/21,10.50.22.128/25,5,29,83,160,6,strip_vlan
57,4,5,00:00:00:00:00:00,00:00:00:00:00:00,10.50.192.0/19,10.50.83.109/32,105,150,121,145,2,in_port
58,63,4,00:00:00:00:00:00,00:00:00:00:00:00,10.50.208.0/20,10.50.132.0/22,58,155,25,147,1,in_port
59,193,5,00:00:00:00:00:00,00:00:00:00:00:00,10.50.250.88/29,10.50.194.40/30,22,78,176,195,2,flood
60,59,5,00:00:00:00:00:00,00:00:00:00:00:00,10.50.0.0/18,10.50.125.231/32,5,182,122,182,6,output:2
61,103,4,00:00:00:00:00:00,00:00:00:00:00:00,10.50.160.0/20,10.50.192.0/18,57,179,120,158,1,controller
62,68,5,00:00:00:00:00:00,00:00:00:00:00:00,10.50.113.97/32,10.50.227.0/24,30,155,35,114,2,output:3
63,159,1,00:00:00:00:00:00,00:00:00:00:00:00,10.50.36.0/23,10.50.32.0/20,120,136,44,170,2,strip_vlan
64,54,2,00:00:00:00:00:00,00:00:00:00:00:00,10.50.0.0/20,10.50.32.0/19,10,24,3,71,6,output:3
65,170,1,00:00:00:00:00:00,00:00:00:00:00:00,10.50.160.0/19,10.50.192.0/18,69,104,199,200,6,controller
66,187,5,00:00:00:00:00:00,00:00:00:00:00:00,10.50.160.0/19,10.50.128.0/18,68,101,154,159,1,controller
67,88,4,00:00:00:00:00:00,00:00:00:00:00:00,10.50.160.0/20,10.50.192.0/18,34,42,64,105,1,drop
68,114,2,00:00:00:00:00:00,00:00:00:00:00:00,10.50.88.0/22,10.50.63.45/32,29,46,100,143,6,controller
69,169,1,00:00:00:00:00:00,00:00:00:00:00:00,10.50.216.0/21,10.50.68.0/23,118,120,57,102,2,output:2
70,102,4,00:00:00:00:00:00,00:00:00:00:00:00,10.50.15.89/32,10.50.16.0/22,144,149,10,83,2,output:3
