aasno,priority,ingress,src_mac,dst_mac,src_ip,dst_ip,src_start,src_end,dst_start,dst_end,nw_proto,action 
1,147,3,00:00:00:00:00:00,00:00:00:00:00:00,10.50.94.0/23,10.50.124.0/22,9,69,57,141,1,Deny
2,3,3,00:00:00:00:00:00,00:00:00:00:00:00,10.50.184.0/21,10.50.224.80/29,98,103,30,63,1,Deny
3,66,3,00:00:00:00:00:00,00:00:00:00:00:00,10.50.0.0/16,10.50.103.228/30,50,137,5,72,6,Allow
4,165,3,00:00:00:00:00:00,00:00:00:00:00:00,10.50.64.0/19,10.50.128.0/19,55,115,46,77,1,Allow
5,92,3,00:00:00:00:00:00,00:00:00:00:00:00,10.50.9.194/31,10.50.0.0/17,67,104,58,112,6,Allow
6,191,3,00:00:00:00:00:00,00:00:00:00:00:00,10.50.24.0/22,10.50.154.48/29,131,171,96,137,6,Deny
7,175,3,00:00:00:00:00:00,00:00:00:00:00:00,10.50.0.0/16,10.50.154.0/23,35,84,128,166,1,Deny
8,193,3,00:00:00:00:00:00,00:00:00:00:00:00,10.50.0.0/19,10.50.64.0/18,105,173,86,166,1,Deny
9,36,3,00:00:00:00:00:00,00:00:00:00:00:00,10.50.96.0/20,10.50.115.208/29,124,139,85,192,6,Allow
10,37,3,00:00:00:00:00:00,00:00:00:00:00:00,10.50.96.0/23,10.50.96.0/20,29,144,67,127,6,Allow
11,150,3,00:00:00:00:00:00,00:00:00:00:00:00,10.50.56.0/21,10.50.192.0/18,10,23,48,101,1,Allow
12,70,3,00:00:00:00:00:00,00:00:00:00:00:00,10.50.210.128/28,10.50.248.192/26,43,155,28,36,1,Allow
13,142,3,00:00:00:00:00:00,00:00:00:00:00:00,10.50.64.0/19,10.50.80.0/20,48,156,84,140,6,Allow
14,16,3,00:00:00:00:00:00,00:00:00:00:00:00,10.50.0.0/16,10.50.0.0/18,47,48,32,44,6,Allow
15,193,3,00:00:00:00:00:00,00:00:00:00:00:00,10.50.192.0/19,10.50.144.0/21,116,130,7,120,6,Allow
16,57,3,00:00:00:00:00:00,00:00:00:00:00:00,10.50.0.0/16,10.50.64.0/18,25,55,10,79,1,Allow
17,134,3,00:00:00:00:00:00,00:00:00:00:00:00,10.50.0.0/16,10.50.16.0/22,65,78,124,143,1,Deny
18,130,3,00:00:00:00:00:00,00:00:00:00:00:00,10.50.200.100/32,10.50.38.0/25,38,138,141,196,6,Allow
19,180,3,00:00:00:00:00:00,00:00:00:00:00:00,10.50.208.0/20,10.50.0.0/18,82,164,123,174,1,Allow
20,12,3,00:00:00:00:00:00,00:00:00:00:00:00,10.50.191.0/25,10.50.0.0/16,7,49,117,140,6,Deny
21,115,3,00:00:00:00:00:00,00:00:00:00:00:00,10.50.120.0/21,10.50.192.0/19,101,138,12,172,1,Deny
22,125,3,00:00:00:00:00:00,00:00:00:00:00:00,10.50.104.0/22,10.50.170.0/23,61,89,139,156,1,Deny
23,185,3,00:00:00:00:00:00,00:00:00:00:00:00,10.50.202.240/29,10.50.32.0/22,34,108,53,162,6,Allow
24,45,3,00:00:00:00:00:00,00:00:00:00:00:00,10.50.124.0/22,10.50.116.0/22,157,192,12,68,6,Deny
25,75,3,00:00:00:00:00:00,00:00:00:00:00:00,10.50.12.0/22,10.50.76.108/30,63,164,107,136,6,Deny
26,159,3,00:00:00:00:00:00,00:00:00:00:00:00,10.50.69.0/26,10.50.0.0/17,8,9,79,195,6,Deny
27,121,3,00:00:00:00:00:00,00:00:00:00:00:00,10.50.196.160/27,10.50.72.0/22,89,152,99,127,6,Deny
28,2,3,00:00:00:00:00:00,00:00:00:00:00:00,10.50.134.192/26,10.50.192.0/18,151,199,116,178,1,Deny
29,15,3,00:00:00:00:00:00,00:00:00:00:00:00,10.50.96.208/29,10.50.128.0/17,27,131,33,63,6,Deny
30,192,3,00:00:00:00:00:00,00:00:00:00:00:00,10.50.40.128/28,10.50.16.0/21,173,196,110,180,1,Allow
31,147,3,00:00:00:00:00:00,00:00:00:00:00:00,10.50.73.11/32,10.50.128.0/18,40,141,1,159,6,Deny
32,128,3,00:00:00:00:00:00,00:00:00:00:00:00,10.50.176.0/20,10.50.128.0/17,58,78,16,81,6,Deny
33,137,3,00:00:00:00:00:00,00:00:00:00:00:00,10.50.96.0/20,10.50.152.0/22,38,47,10,147,1,Deny
34,175,3,00:00:00:00:00:00,00:00:00:00:00:00,10.50.200.224/28,10.50.0.0/17,3,17,30,107,6,Deny
35,74,3,00:00:00:00:00:00,00:00:00:00:00:00,10.50.32.0/20,10.50.232.0/23,125,150,15,157,1,Deny
36,106,3,00:00:00:00:00:00,00:00:00:00:00:00,10.50.0.0/17,10.50.0.0/18,89,161,164,179,1,Deny
37,128,3,00:00:00:00:00:00,00:00:00:00:00:00,10.50.236.0/22,10.50.247.44/30,125,157,47,190,6,Deny
38,191,3,00:00:00:00:00:00,00:00:00:00:00:00,10.50.73.86/32,10.50.8.0/22,22,85,49,102,1,Allow
39,151,3,00:00:00:00:00:00,00:00:00:00:00:00,10.50.64.0/18,10.50.125.160/27,106,150,168,182,1,Allow
40,72,3,00:00:00:00:00:00,00:00:00:00:00:00,10.50.10.0/23,10.50.0.0/16,70,76,109,133,6,Allow
41,122,3,00:00:00:00:00:00,00:00:00:00:00:00,10.50.0.0/19,10.50.0.0/16,29,111,23,41,6,Allow
42,28,3,00:00:00:00:00:00,00:00:00:00:00:00,10.50.78.42/32,10.50.221.107/32,123,158,6,89,1,Allow
43,118,3,00:00:00:00:00:00,00:00:00:00:00:00,10.50.23.128/26,10.50.16.0/20,84,155,128,179,1,Allow
44,112,3,00:00:00:00:00:00,00:00:00:00:00:00,10.50.224.0/19,10.50.16.0/20,134,135,111,148,1,Allow
