aasno,priority,ingress,src_mac,dst_mac,src_ip,dst_ip,src_start,src_end,dst_start,dst_end,nw_proto,action 
1,6,3,00:00:00:00:00:00,00:00:00:00:00:00,10.50.245.64/26,10.50.119.49/32,123,137,75,110,1,Deny
2,49,3,00:00:00:00:00:00,00:00:00:00:00:00,10.50.215.168/30,10.50.0.0/18,14,35,26,129,1,Deny
3,100,3,00:00:00:00:00:00,00:00:00:00:00:00,10.50.0.0/16,10.50.143.114/32,119,152,25,113,1,Deny
4,173,3,00:00:00:00:00:00,00:00:00:00:00:00,10.50.0.0/17,10.50.7.128/28,97,105,167,169,1,Deny
5,36,3,00:00:00:00:00:00,00:00:00:00:00:00,10.50.32.0/20,10.50.24.0/21,167,189,34,169,6,Allow
6,181,3,00:00:00:00:00:00,00:00:00:00:00:00,10.50.0.0/17,10.50.88.238/32,54,167,72,175,6,Allow
7,49,3,00:00:00:00:00:00,00:00:00:00:00:00,10.50.96.0/19,10.50.128.0/18,66,111,120,197,6,Allow
8,140,3,00:00:00:00:00:00,00:00:00:00:00:00,10.50.32.0/19,10.50.59.0/26,26,132,111,117,6,Allow
9,180,3,00:00:00:00:00:00,00:00:00:00:00:00,10.50.188.0/22,10.50.112.0/20,116,170,27,172,1,Deny
10,13,3,00:00:00:00:00:00,00:00:00:00:00:00,10.50.0.0/17,10.50.224.0/19,98,154,192,194,6,Allow
11,121,3,00:00:00:00:00:00,00:00:00:00:00:00,10.50.96.0/20,10.50.176.184/29,27,179,179,189,1,Deny
12,91,3,00:00:00:00:00:00,00:00:00:00:00:00,10.50.244.0/22,10.50.95.0/27,33,40,166,195,1,Deny
13,82,3,00:00:00:00:00:00,00:00:00:00:00:00,10.50.128.0/20,10.50.192.0/20,137,190,103,122,6,Deny
14,81,3,00:00:00:00:00:00,00:00:00:00:00:00,10.50.0.0/19,10.50.72.16/29,75,120,4,64,6,Allow
15,30,3,00:00:00:00:00:00,00:00:00:00:00:00,10.50.8.0/22,10.50.176.0/20,35,100,187,194,1,Allow
16,73,3,00:00:00:00:00:00,00:00:00:00:00:00,10.50.11.100/30,10.50.86.0/23,16,152,97,150,6,Allow
17,181,3,00:00:00:00:00:00,00:00:00:00:00:00,10.50.224.0/19,10.50.128.0/19,64,167,18,196,6,Deny
18,172,3,00:00:00:00:00:00,00:00:00:00:00:00,10.50.0.0/18,10.50.96.0/20,13,103,84,160,1,Allow
19,120,3,00:00:00:00:00:00,00:00:00:00:00:00,10.50.0.0/19,10.50.91.116/30,34,70,10,81,6,Allow
20,4,3,00:00:00:00:00:00,00:00:00:00:00:00,10.50.150.73/32,10.50.100.0/22,53,66,7,54,6,Deny
21,111,3,00:00:00:00:00:00,00:00:00:00:00:00,10.50.40.0/22,10.50.0.0/17,23,174,82,143,6,Deny
22,175,3,00:00:00:00:00:00,00:00:00:00:00:00,10.50.128.0/17,10.50.202.173/32,78,161,113,123,6,Allow
23,71,3,00:00:00:00:00:00,00:00:00:00:00:00,10.50.252.0/22,10.50.244.34/32,78,138,108,113,1,Deny
24,195,3,00:00:00:00:00:00,00:00:00:00:00:00,10.50.11.140/30,10.50.108.0/22,116,151,22,198,1,Allow
25,165,3,00:00:00:00:00:00,00:00:00:00:00:00,10.50.149.208/28,10.50.128.0/18,16,31,42,186,1,Deny
26,70,3,00:00:00:00:00:00,00:00:00:00:00:00,10.50.62.0/23,10.50.178.248/29,112,187,136,153,6,Allow
27,85,3,00:00:00:00:00:00,00:00:00:00:00:00,10.50.214.0/23,10.50.161.128/25,68,147,24,66,1,Allow
28,55,3,00:00:00:00:00:00,00:00:00:00:00:00,10.50.112.0/27,10.50.191.251/32,145,181,34,174,6,Allow
29,54,3,00:00:00:00:00:00,00:00:00:00:00:00,10.50.136.0/21,10.50.128.0/17,51,80,38,119,1,Allow
30,169,3,00:00:00:00:00:00,00:00:00:00:00:00,10.50.0.0/16,10.50.73.251/32,91,191,79,115,6,Deny
31,64,3,00:00:00:00:00:00,00:00:00:00:00:00,10.50.242.252/32,10.50.74.80/28,44,45,37,194,6,Deny
32,4,3,00:00:00:00:00:00,00:00:00:00:00:00,10.50.233.128/27,10.50.224.0/22,124,196,51,87,6,Deny
33,188,3,00:00:00:00:00:00,00:00:00:00:00:00,10.50.77.160/28,10.50.84.145/32,81,127,158,195,1,Allow
34,12,3,00:00:00:00:00:00,00:00:00:00:00:00,10.50.20.0/23,10.50.176.44/30,13,183,20,171,6,Allow
