aasno,priority,ingress,src_mac,dst_mac,src_ip,dst_ip,src_start,src_end,dst_start,dst_end,nw_proto,action 
1,16,3,00:00:00:00:00:00,00:00:00:00:00:00,10.50.60.141/32,10.50.60.147/32,67,183,153,154,6,Deny
2,61,3,00:00:00:00:00:00,00:00:00:00:00:00,10.50.60.215/32,10.50.60.8/30,15,128,104,178,1,Allow
3,137,3,00:00:00:00:00:00,00:00:00:00:00:00,10.50.60.0/29,10.50.60.80/29,177,192,89,180,1,Allow
4,93,3,00:00:00:00:00:00,00:00:00:00:00:00,10.50.60.220/32,10.50.60.224/28,38,97,46,174,6,Deny
5,66,3,00:00:00:00:00:00,00:00:00:00:00:00,10.50.60.64/29,10.50.60.64/31,72,103,114,198,6,Allow
6,32,3,00:00:00:00:00:00,00:00:00:00:00:00,10.50.60.128/29,10.50.60.128/25,92,139,23,47,1,Deny
7,133,3,00:00:00:00:00:00,00:00:00:00:00:00,10.50.60.9/32,10.50.60.192/26,99,123,88,152,1,Allow
8,56,3,00:00:00:00:00:00,00:00:00:00:00:00,10.50.60.128/27,10.50.60.104/32,23,120,120,131,6,Allow
9,35,3,00:00:00:00:00:00,00:00:00:00:00:00,10.50.60.162/32,10.50.60.160/30,89,148,27,57,1,Deny
10,69,3,00:00:00:00:00:00,00:00:00:00:00:00,10.50.60.11/32,10.50.60.48/28,56,99,38,98,1,Allow
11,96,3,00:00:00:00:00:00,00:00:00:00:00:00,10.50.60.192/26,10.50.60.154/32,15,102,74,138,1,Allow
12,74,3,00:00:00:00:00:00,00:00:00:00:00:00,10.50.60.64/28,10.50.60.144/30,13,148,142,183,6,Deny
13,85,3,00:00:00:00:00:00,00:00:00:00:00:00,10.50.60.80/28,10.50.60.31/32,138,158,2,143,6,Deny
14,172,3,00:00:00:00:00:00,00:00:00:00:00:00,10.50.60.64/27,10.50.60.104/29,35,46,38,111,1,Allow
15,59,3,00:00:00:00:00:00,00:00:00:00:00:00,10.50.60.32/29,10.50.60.112/29,64,98,50,114,1,Deny
16,96,3,00:00:00:00:00:00,00:00:00:00:00:00,10.50.60.183/32,10.50.60.112/32,135,148,91,126,6,Deny
17,111,3,00:00:00:00:00:00,00:00:00:00:00:00,10.50.60.48/28,10.50.60.0/27,8,18,91,154,6,Allow
18,123,3,00:00:00:00:00:00,00:00:00:00:00:00,10.50.60.0/27,10.50.60.160/27,49,122,89,103,6,Allow
19,74,3,00:00:00:00:00:00,00:00:00:00:00:00,10.50.60.102/32,10.50.60.65/32,9,28,117,185,6,Allow
20,47,3,00:00:00:00:00:00,00:00:00:00:00:00,10.50.60.84/30,10.50.60.128/26,73,110,8,174,1,Allow
21,35,3,00:00:00:00:00:00,00:00:00:00:00:00,10.50.60.160/28,10.50.60.106/32,14,36,156,177,1,Allow
22,122,3,00:00:00:00:00:00,00:00:00:00:00:00,10.50.60.128/26,10.50.60.156/32,18,159,34,119,6,Deny
23,36,3,00:00:00:00:00:00,00:00:00:00:00:00,10.50.60.0/25,10.50.60.0/32,33,100,59,88,6,Allow
24,84,3,00:00:00:00:00:00,00:00:00:00:00:00,10.50.60.103/32,10.50.60.19/32,5,91,74,167,6,Deny
25,55,3,00:00:00:00:00:00,00:00:00:00:00:00,10.50.60.80/30,10.50.60.0/25,133,181,51,170,1,Deny
26,138,3,00:00:00:00:00:00,00:00:00:00:00:00,10.50.60.93/32,10.50.60.251/32,17,23,58,84,1,Allow
27,122,3,00:00:00:00:00:00,00:00:00:00:00:00,10.50.60.163/32,10.50.60.96/30,97,189,92,168,6,Allow
28,29,3,00:00:00:00:00:00,00:00:00:00:00:00,10.50.60.178/31,10.50.60.154/32,22,155,122,149,1,Deny
29,170,3,00:00:00:00:00:00,00:00:00:00:00:00,10.50.60.65/32,10.50.60.31/32,110,156,86,93,1,Allow
30,105,3,00:00:00:00:00:00,00:00:00:00:00:00,10.50.60.0/26,10.50.60.70/31,3,165,72,102,6,Allow
31,77,3,00:00:00:00:00:00,00:00:00:00:00:00,10.50.60.0/25,10.50.60.128/25,102,197,70,87,1,Deny
32,155,3,00:00:00:00:00:00,00:00:00:00:00:00,10.50.60.32/32,10.50.60.64/29,67,190,102,131,1,Allow
33,184,3,00:00:00:00:00:00,00:00:00:00:00:00,10.50.60.64/27,10.50.60.192/26,2,154,112,146,1,Allow
34,189,3,00:00:00:00:00:00,00:00:00:00:00:00,10.50.60.128/25,10.50.60.208/29,88,187,134,169,6,Allow
35,105,3,00:00:00:00:00:00,00:00:00:00:00:00,10.50.60.212/32,10.50.60.192/27,37,170,4,41,1,Deny
36,37,3,00:00:00:00:00:00,00:00:00:00:00:00,10.50.60.144/32,10.50.60.64/28,40,199,166,187,1,Deny
37,157,3,00:00:00:00:00:00,00:00:00:00:00:00,10.50.60.168/30,10.50.60.32/27,30,59,79,118,6,Allow
38,118,3,00:00:00:00:00:00,00:00:00:00:00:00,10.50.60.192/28,10.50.60.192/26,12,140,161,170,1,Deny
39,200,3,00:00:00:00:00:00,00:00:00:00:00:00,10.50.60.48/30,10.50.60.205/32,70,159,155,163,1,Allow
40,57,3,00:00:00:00:00:00,00:00:00:00:00:00,10.50.60.64/27,10.50.60.188/30,57,199,49,69,1,Allow
41,134,3,00:00:00:00:00:00,00:00:00:00:00:00,10.50.60.0/26,10.50.60.80/28,48,137,138,175,1,Allow
42,109,3,00:00:00:00:00:00,00:00:00:00:00:00,10.50.60.144/31,10.50.60.128/25,61,119,72,194,1,Allow
43,129,3,00:00:00:00:00:00,00:00:00:00:00:00,10.50.60.238/32,10.50.60.176/28,56,165,130,155,1,Allow
44,192,3,00:00:00:00:00:00,00:00:00:00:00:00,10.50.60.223/32,10.50.60.101/32,109,168,85,197,1,Allow
45,3,3,00:00:00:00:00:00,00:00:00:00:00:00,10.50.60.23/32,10.50.60.20/30,118,129,106,164,6,Allow
